"ORG_ID","ORGNAME_EN","ORGNAME_FR","DEPT_HEAD_EN"
63,"Social Sciences and Humanities Research Council","Conseil de recherches en sciences humaines",
66,"Northern Pipeline Agency","Administration du pipe-line du Nord",
67,"House of Commons","Chambre des communes",
75,"Canadian Human Rights Commission","Commission canadienne des droits de la personne",
76,"Office of the Commissioner of Official Languages","Commissariat aux langues officielles",
78,"Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord",
79,"Payroll System General Ledger","Grand livre général du système de la paye",
80,"Registrar of the Supreme Court of Canada","Registraire de la Cour suprême du Canada",
85,"Canada Border Services Agency","Agence des services frontaliers du Canada",
86,"Fisheries and Oceans (Department of)","Pêches et des Océans (Ministère des)","Minister of Fisheries, Oceans and the Canadian Coast Guard"
87,"Public Service Superannuation","Pension de retraite de la fonction publique",
88,"Public Safety and Emergency Preparedness (Department of)","Sécurité publique et de la Protection civile (Ministère de la)",
91,"Canada Mortgage and Housing Corporation (Crown Corporation)","Société canadienne d'hypothèques et de logement (Société d'État)",
95,"Canadian Security Intelligence Service","Service canadien du renseignement de sécurité",
96,"Offices of the Information and Privacy Commissioners of Canada","Commissariats à l'information et à la protection de la vie privée au Canada",
97,"Receiver General","Receveur général",
100,"Canadian Centre for Occupational Health and Safety","Centre canadien d'hygiène et de sécurité au travail",
101,"Canadian Transportation Accident Investigation and Safety Board","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",
102,"The National Battlefields Commission","Commission des champs de bataille nationaux",
103,"Security Intelligence Review Committee","Comité de surveillance des activités de renseignement de sécurité",
109,"Patented Medicine Prices Review Board","Conseil d'examen du prix des médicaments brevetés",
116,"Copyright Board","Commission du droit d'auteur",
119,"Canadian Space Agency","Agence spatiale canadienne",
122,"Canada Revenue Agency - (Administered Activities)","Agence du revenu du Canada - (activités administrées)","Minister of National Revenue"
123,"Export Development Canada (Crown Corporation)","Exportation et développement Canada (Société d'État)",
124,"Parks Canada Agency","Agence Parcs Canada",
127,"Public Works and Government Services (Department of)","Travaux publics et des Services gouvernementaux (Ministère des)",
130,"Canada Revenue Agency","Agence du revenu du Canada","Minister of National Revenue"
133,"Canadian Grain Commission","Commission canadienne des grains",
134,"Canadian Dairy Commission","Commission canadienne du lait",
135,"Canadian Heritage (Department of)","Patrimoine canadien (Ministère du)",
136,"Canadian Food Inspection Agency","Agence canadienne d'inspection des aliments",
137,"Military Police Complaints Commission","Commission d'examen des plaintes concernant la police militaire",
138,"Military Grievances External Review Committee","Comité externe d'examen des griefs militaires",
139,"Financial Transactions and Reports Analysis Centre of Canada","Centre d'analyse des opérations et déclarations financières du Canada",
141,"Financial Consumer Agency of Canada","Agence de la consommation en matière financière du Canada",
142,"Office of Infrastructure of Canada","Bureau de l'infrastructure du Canada",
144,"Courts Administration Service","Service administratif des tribunaux judiciaires",
145,"Library and Archives of Canada","Bibliothèque et Archives du Canada",
147,"Office of the Conflict of Interest and Ethics Commissioner","Bureau du commissaire aux conflits d'intérêts et à l'éthique",
148,"Public Health Agency of Canada","Agence de la santé publique du Canada",
151,"Office of the Senate Ethics Officer","Bureau du conseiller sénatorial en éthique",
154,"Office of the Commissioner of Lobbying","Commissariat au lobbying",
163,"Shared Services Canada","Services partagés Canada",
165,"Communications Security Establishment","Centre de la sécurité des télécommunications",
170,"Administrative Tribunals Support Service of Canada","Service canadien d'appui aux tribunaux administratifs",
171,"Canadian High Arctic Research Station","Station canadienne de recherche dans l'Extrême-Arctique",
176,"Parliamentary Protective Service","Service de protection parlementaire",
180,"Invest in Canada Hub","Investir au Canada",
183,"Office of the Parliamentary Budget Officer","Bureau du directeur parlementaire du budget",
190,"Department for Women and Gender Equality","Ministère des Femmes et de l'Égalité des genres",
191,"Department of Indigenous Services","Ministère des Services aux Autochtones",
192,"Secretariat of the National Security and Intelligence Committee of Parliamentarians","Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement",
193,"Leaders' Debates Commission","Commission des débats des chefs",
195,"Canadian Energy Regulator","Régie canadienne de l'énergie",
197,"Office of the Intelligence Commissioner","Bureau du commissaire au renseignement",
199,"Canadian Accessibility Standards Development Organization","Organisation canadienne d'élaboration de normes d'accessibilité",
